t_binance_ms,t_received_ns,t_sent_ns
1777485631511,1777485631160511110,1777485631161186605
1777485631511,1777485631161375184,1777485631161565142
1777485631590,1777485631237422794,1777485631237580829
1777485631590,1777485631238012570,1777485631238117008
1777485631590,1777485631238142428,1777485631238187060
1777485631680,1777485631326011190,1777485631326168142
1777485631680,1777485631326202823,1777485631326250608
1777485631680,1777485631326291792,1777485631326348051
1777485632179,1777485631818144756,1777485631818377868
1777485632179,1777485631818748326,1777485631818888332
1777485632179,1777485631818911978,1777485631818969517
1777485632327,1777485631964219838,1777485631964445364
1777485632327,1777485631964839074,1777485631964936516
1777485632327,1777485631964975336,1777485631965031594
1777485632327,1777485631965063418,1777485631965117213
1777485632429,1777485632063687241,1777485632063828112
1777485632429,1777485632068104783,1777485632068380811
1777485632429,1777485632068414502,1777485632068477550
1777485632429,1777485632068512324,1777485632068555669
1777485632429,1777485632068588572,1777485632068630341
1777485632429,1777485632068661766,1777485632068713583
1777485632429,1777485632068745894,1777485632068786087
1777485632429,1777485632068817414,1777485632068882431
1777485632429,1777485632068916220,1777485632068956019
1777485632429,1777485632068987247,1777485632069026553
1777485632429,1777485632069057289,1777485632069096792
1777485632429,1777485632069164764,1777485632069204169
1777485632429,1777485632069235594,1777485632069274900
1777485632429,1777485632069306128,1777485632069345434
1777485632429,1777485632069392522,1777485632069432026
1777485632429,1777485632069463549,1777485632069502855
1777485632429,1777485632069534280,1777485632069573389
1777485632429,1777485632069604223,1777485632069645499
1777485632429,1777485632069677614,1777485632069716822
1777485632429,1777485632069748542,1777485632069805285
1777485632429,1777485632069849615,1777485632069960637
1777485632429,1777485632069994624,1777485632070050381
1777485632429,1777485632071919042,1777485632072096461
1777485632429,1777485632072716688,1777485632072833128
1777485632429,1777485632073423999,1777485632074030631
1777485632429,1777485632074088261,1777485632074206967
1777485632429,1777485632074256813,1777485632074348823
1777485632429,1777485632074412363,1777485632074505554
1777485632429,1777485632074555007,1777485632074627807
1777485632429,1777485632074673615,1777485632074733805
1777485632429,1777485632074783652,1777485632074856156
1777485632429,1777485632074898221,1777485632074984221
1777485632429,1777485632075018306,1777485632075084702
1777485632429,1777485632075135928,1777485632075197202
1777485632429,1777485632075245571,1777485632075315711
1777485632429,1777485632075360337,1777485632075405652
1777485632429,1777485632075467517,1777485632075533126
1777485632429,1777485632075577456,1777485632075638631
1777485632429,1777485632075681878,1777485632075747683
1777485632429,1777485632075790240,1777485632075836442
1777485632429,1777485632075875453,1777485632075935939
1777485632429,1777485632075996227,1777485632076065382
1777485632429,1777485632076108924,1777485632076154240
1777485632429,1777485632076186157,1777485632076229404
1777485632429,1777485632076281221,1777485632076332348
1777485632429,1777485632076375200,1777485632076441302
1777485632429,1777485632076499423,1777485632076577149
1777485632429,1777485632076621479,1777485632076693195
1777485632429,1777485632076737229,1777485632076808256
1777485632429,1777485632076856625,1777485632076925386
1777485632429,1777485632076974740,1777485632077065371
1777485632429,1777485632077108223,1777485632077168216
1777485632429,1777485632077209887,1777485632077251655
1777485632429,1777485632077301995,1777485632077371150
1777485632429,1777485632077407697,1777485632077448777
1777485632429,1777485632077482467,1777485632077526995
1777485632429,1777485632077678406,1777485632077751600
1777485632429,1777485632077803713,1777485632077866661
1777485632433,1777485632081105812,1777485632081324802
1777485632433,1777485632081447153,1777485632082372076
1777485632433,1777485632082490388,1777485632082613330
1777485632433,1777485632083400928,1777485632083513920
1777485632433,1777485632083580809,1777485632083651442
1777485632433,1777485632083698432,1777485632083805218
1777485632433,1777485632083854080,1777485632083907867
1777485632433,1777485632083944021,1777485632084016820
1777485632433,1777485632084053565,1777485632084151682
1777485632433,1777485632084193845,1777485632084273048
1777485632433,1777485632084320334,1777485632084388602
1777485632433,1777485632084435789,1777485632084492926
1777485632433,1777485632084535384,1777485632084621384
1777485632433,1777485632084663941,1777485632084728663
1777485632433,1777485632084776638,1777485632084845498
1777485632433,1777485632084888941,1777485632084944895
1777485632437,1777485632084985679,1777485632085040747
1777485632437,1777485632085085175,1777485632085175412
1777485632437,1777485632085216590,1777485632085283380
1777485632437,1777485632085328203,1777485632085391447
1777485632437,1777485632085429374,1777485632085489860
1777485632437,1777485632085535274,1777485632085605315
1777485632437,1777485632085673288,1777485632085738896
1777485632437,1777485632085792782,1777485632085856223
1777485632437,1777485632085904790,1777485632085958478
1777485632437,1777485632086004778,1777485632086217858
1777485632437,1777485632086253618,1777485632086303760
1777485632438,1777485632086351538,1777485632086399809
1777485632449,1777485632088587843,1777485632088701131
1777485632450,1777485632088731374,1777485632088830575
1777485632450,1777485632088900814,1777485632089012427
1777485632450,1777485632089058530,1777485632089131232
1777485632450,1777485632089174774,1777485632089233585
1777485632450,1777485632089275945,1777485632089331013
1777485632450,1777485632089373569,1777485632089461934
1777485632450,1777485632089503801,1777485632089561726
1777485632450,1777485632089605169,1777485632089662109
1777485632455,1777485632092355408,1777485632092503963
1777485632455,1777485632093376773,1777485632093554093
1777485632455,1777485632093727276,1777485632093870216
1777485632455,1777485632093931195,1777485632094012861
1777485632455,1777485632094055516,1777485632094133438
1777485632455,1777485632094207420,1777485632094299528
1777485632455,1777485632095434674,1777485632095595937
1777485632455,1777485632095658984,1777485632095833842
1777485632455,1777485632095882408,1777485632095996287
1777485632455,1777485632096066526,1777485632096155678
1777485632455,1777485632096202964,1777485632096347184
1777485632455,1777485632096393485,1777485632096501354
1777485632455,1777485632096546473,1777485632096634640
1777485632455,1777485632096728128,1777485632096832352
1777485632455,1777485632096869787,1777485632096953029
1777485632458,1777485632097025139,1777485632097231520
1777485632703,1777485632335009427,1777485632335197780
1777485632703,1777485632335317373,1777485632336086648
1777485632703,1777485632336129697,1777485632336230376
1777485632703,1777485632336701555,1777485632336783123
1777485632703,1777485632336826960,1777485632336890598
1777485632703,1777485632336960837,1777485632337026642
1777485632703,1777485632337061515,1777485632337106634
1777485632703,1777485632337139339,1777485632337182783
1777485632703,1777485632337216966,1777485632337260607
1777485632703,1777485632337292919,1777485632337335475
1777485632703,1777485632337423347,1777485632337509643
1777485632703,1777485632337607170,1777485632337655539
1777485632703,1777485632337687062,1777485632337729225
1777485632703,1777485632337761832,1777485632337803010
1777485632703,1777485632337835125,1777485632337875810
1777485632703,1777485632337907334,1777485632338014612
1777485632703,1777485632338057662,1777485632338099135
1777485632703,1777485632338904859,1777485632339100798
1777485632703,1777485632339658766,1777485632339759543
1777485632703,1777485632339898050,1777485632340452176
1777485632703,1777485632340947097,1777485632341066689
1777485632748,1777485632378021036,1777485632378158460
1777485632748,1777485632378657715,1777485632378838779
1777485632783,1777485632412806755,1777485632412951863
1777485632783,1777485632413546969,1777485632413686166
1777485632783,1777485632413718871,1777485632413894813
1777485632787,1777485632416078217,1777485632416234555
1777485632828,1777485632456628029,1777485632456820915
1777485632881,1777485632507868977,1777485632508067379
1777485632885,1777485632512854437,1777485632513001810
1777485632885,1777485632513034713,1777485632513092638
