t_binance_ms,t_received_ns,t_sent_ns
1777485029976,1777485029641190593,1777485029641239167
1777485029976,1777485029641830922,1777485029641998320
1777485029976,1777485029642326514,1777485029642414597
1777485029976,1777485029642913146,1777485029642978075
1777485029976,1777485029643556332,1777485029643669441
1777485029976,1777485029644157250,1777485029644321988
1777485029976,1777485029644972563,1777485029645068923
1777485029976,1777485029645333961,1777485029645918031
1777485029976,1777485029646190164,1777485029646288691
1777485029976,1777485029646684968,1777485029646749208
1777485029976,1777485029647044888,1777485029647128439
1777485029976,1777485029647856359,1777485029647964936
1777485029976,1777485029648802024,1777485029649127755
1777485029976,1777485029649444619,1777485029649593790
1777485029976,1777485029650214117,1777485029650305649
1777485029976,1777485029650610197,1777485029650701532
1777485029976,1777485029651211312,1777485029651276833
1777485029976,1777485029651580396,1777485029651690057
1777485029976,1777485029652322109,1777485029652452559
1777485029976,1777485029653311225,1777485029653445025
1777485030066,1777485029712171437,1777485029712358344
1777485030066,1777485029712787627,1777485029712891967
1777485030066,1777485029713257996,1777485029713334454
1777485030066,1777485029713879507,1777485029713985423
1777485030066,1777485029714348398,1777485029714427417
1777485030066,1777485029714954637,1777485029715049715
1777485030066,1777485029715387763,1777485029715458407
1777485030066,1777485029715927495,1777485029716531960
1777485030066,1777485029716822419,1777485029716939863
1777485030066,1777485029717270127,1777485029717366289
1777485030066,1777485029717971050,1777485029718087608
1777485030066,1777485029718355208,1777485029718434030
1777485030066,1777485029718994946,1777485029719105001
1777485030066,1777485029719722570,1777485029719812328
1777485030066,1777485029720070470,1777485029720253238
1777485030066,1777485029720911597,1777485029720994853
1777485030066,1777485029721597052,1777485029721704644
1777485030066,1777485029722361427,1777485029722478970
1777485030066,1777485029722809825,1777485029722907367
1777485030066,1777485029723443946,1777485029723546513
1777485030066,1777485029724048904,1777485029724147924
1777485030066,1777485029724433555,1777485029724528535
1777485030066,1777485029725112014,1777485029725210935
1777485030066,1777485029725831066,1777485029725946737
1777485030066,1777485029726561153,1777485029726668252
1777485030066,1777485029726895161,1777485029726952208
1777485030066,1777485029727163746,1777485029727264638
1777485030066,1777485029727885853,1777485029727962310
1777485030066,1777485029728540271,1777485029728636532
1777485030066,1777485029728902950,1777485029728954776
1777485030066,1777485029729486035,1777485029729576975
1777485030066,1777485029730162917,1777485029730282332
1777485030066,1777485029730536828,1777485029730610625
1777485030066,1777485029731101291,1777485029731202183
1777485030066,1777485029731458453,1777485029731544664
1777485030066,1777485029731787830,1777485029731884781
1777485030066,1777485029732542844,1777485029732635362
1777485030066,1777485029733127111,1777485029733236378
1777485030066,1777485029733533142,1777485029733585165
1777485030066,1777485029734251012,1777485029734386093
1777485030066,1777485029735709906,1777485029735846859
1777485030066,1777485029736888391,1777485029737047611
1777485030066,1777485029737596803,1777485029737761737
1777485030066,1777485029738921305,1777485029739570797
1777485030066,1777485029740213392,1777485029740839139
1777485030066,1777485029741528239,1777485029742206797
1777485030066,1777485029742800424,1777485029742984473
1777485030066,1777485029743865602,1777485029744000191
1777485030066,1777485029744366614,1777485029744499429
1777485030066,1777485029745814374,1777485029746778168
1777485030066,1777485029747351794,1777485029747518798
1777485030066,1777485029748061092,1777485029748257556
1777485030116,1777485029811521052,1777485029811670025
1777485030116,1777485029811961962,1777485029812107191
1777485030116,1777485029812749589,1777485029812921913
1777485030116,1777485029813178971,1777485029813261537
1777485030116,1777485029813832305,1777485029813967091
1777485030116,1777485029814185427,1777485029814827037
1777485030116,1777485029815314649,1777485029815459976
1777485030116,1777485029816186615,1777485029816354900
1777485030116,1777485029817047054,1777485029817174943
1777485030116,1777485029817886507,1777485029818729112
1777485030116,1777485029819102629,1777485029819219089
1777485030116,1777485029819685024,1777485029819831929
1777485030116,1777485029820305746,1777485029820418166
1777485030116,1777485029821207961,1777485029821363240
1777485030116,1777485029821613302,1777485029821731535
1777485030116,1777485029822998498,1777485029823144712
1777485030116,1777485029827429172,1777485029827603467
